Wavelength [nm],Intensity(a.u.)
406.598,852.1231358
406.935,484.8916747
407.272,479.1500054
407.609,221.2207018
407.946,70.52853517
408.283,85.20942024
408.620,237.6892998
408.956,329.7052127
409.293,150.6718201
409.630,103.7827571
409.967,69.1927876
410.304,158.90739
410.641,56.04950273
410.978,98.79665049
411.315,137.9705888
411.651,183.89063
411.988,149.6906695
412.325,126.4372948
412.662,258.4044247
412.999,233.0678298
413.335,203.4485765
413.672,199.9413049
414.009,316.0733081
414.346,296.9426745
414.682,86.58331887
415.019,-62.61253281
415.356,-13.99021548
415.692,-51.81269075
416.029,-46.75516783
416.366,43.3220517
416.702,339.8572374
417.039,394.4234015
417.376,248.5014683
417.712,102.334378
418.049,190.884107
418.386,285.9169772
418.722,360.1927876
