Save Time: 2025-02-27 14:49:46
Units:(mV)
,CH1,CH2
Status:,Stop,Stop
Frequency:,25.888 kHz,73.925 kHz
Period:,38.629 uS,13.527 uS
PK-PK:,3.560 V,70000.000 V


702,1240.00,0.00
703,1040.00,-400000.00
704,1240.00,0.00
705,880.00,-400000.00
706,1120.00,0.00
707,920.00,-400000.00
708,1160.00,0.00
709,840.00,-400000.00
710,1000.00,0.00
711,880.00,0.00
712,960.00,10000000.00
713,760.00,-11200000.00
714,960.00,17600000.00
715,720.00,-19200000.00
716,920.00,11200000.00
717,680.00,-10800000.00
718,800.00,6400000.00
719,-1320.00,-6400000.00
720,-1200.00,6800000.00
721,-1400.00,-7200000.00
722,-1240.00,15600000.00
723,-1320.00,-17200000.00
724,-1280.00,13200000.00
725,-1320.00,-12800000.00
726,-1200.00,8000000.00
727,-1400.00,-9200000.00
728,-1320.00,4400000.00
729,-1360.00,-4000000.00
730,-1280.00,5200000.00
731,-1360.00,-4400000.00
732,-1280.00,1200000.00
733,-1320.00,-1200000.00
734,-1240.00,4800000.00
735,-1320.00,-9600000.00
736,-1200.00,1200000.00
737,-1280.00,-1200000.00
738,-1160.00,400000.00
739,-1240.00,-400000.00
740,-1120.00,10000000.00
741,-1200.00,-11200000.00
742,-1080.00,6800000.00
743,-1160.00,-6800000.00
744,-1040.00,2000000.00
745,-1080.00,-2000000.00
746,-920.00,800000.00
747,-1080.00,-400000.00
748,-920.00,400000.00
749,-1000.00,0.00
750,-800.00,400000.00
751,-1040.00,0.00
752,-640.00,400000.00
753,-1080.00,0.00
754,-720.00,400000.00
755,-840.00,0.00
756,-640.00,400000.00
757,-840.00,0.00
758,-640.00,0.00
759,-760.00,0.00
760,-440.00,12800000.00
