Wavelength [nm],Intensity(a.u.)
594.833,139.7920484
595.164,72.6560727
595.494,211.0457939
595.824,226.9995636
596.155,109.585503
596.485,77.42176954
596.815,194.194206
597.146,156.9235637
597.476,181.1409697
597.806,181.2760725
598.137,459.0751271
598.467,283.6321696
598.797,166.4535515
599.127,97.02145465
599.457,222.5079273
599.788,236.4562666
600.118,66.64547873
600.448,143.2616242
600.778,307.2706425
601.108,237.3807031
601.438,110.7661333
601.769,11.67095753
602.099,276.0548121
602.429,109.963491
602.759,76.22669077
603.089,-118.893091
603.419,151.4806061
603.749,99.53025444
604.079,92.61597554
604.409,219.3751027
604.739,361.3308847
605.069,359.2302787
605.399,212.9282908
605.729,212.841697
606.059,356.7900363
606.389,262.6964364
606.719,92.75939385
607.049,51.6026667
607.379,129.6524848
607.709,114.189915
608.039,-27.72278802
608.368,-17.00989111
608.698,195.9208485
609.028,249.4684363
609.358,104.9650666
609.688,35.85500606
610.018,154.2467393
610.347,148.1680242
610.677,67.76254535
611.007,161.0609455
611.337,372.3602182
611.666,460.9869574
611.996,289.8588607
612.326,253.1087516
612.656,213.5807759
612.985,288.8640242
613.315,192.1240725
613.645,330.3527757
613.974,403.4887513
614.304,445.626303
614.634,253.0787151
614.963,205.1910545
615.293,231.5505694
615.622,117.8040485
615.952,65.49233939
616.282,-4.092460593
616.611,232.6348848
616.941,145.5232484
617.270,77.26276366
617.600,74.79117576
617.929,204.6396121
618.259,354.2850908
618.588,211.4781576
618.918,200.5095031
619.247,206.1691637
619.577,74.77243637
619.906,-54.90596366
620.235,-51.92443637
620.565,307.3563636
620.894,267.6051151
621.224,92.27650913
621.553,41.01602419
621.882,186.4950544
622.212,258.0974543
622.541,88.24901819
622.870,116.6599273
623.200,332.2936728
623.529,348.1964842
623.858,165.1624241
624.187,51.40530896
624.517,148.6019636
624.846,271.2925333
625.175,115.0970179
625.504,70.13107856
625.834,152.8119273
626.163,155.3376242
626.492,43.37212121
626.821,-5.304702918
627.150,97.48804847
627.479,93.37010908
627.809,-78.69258197
628.138,-118.0572608
628.467,190.1166302
628.796,275.0002667
629.125,184.683394
629.454,34.1831754
629.783,254.4287756
630.112,269.7539636
630.441,281.9224242
630.770,127.007006
631.099,284.9454543
631.428,209.9501819
631.757,126.9494788
632.086,-17.99570914
632.415,1.099030415
632.744,88.06453315
633.073,60.64933332
633.402,72.48603646
633.731,146.1319516
634.060,238.0394909
634.388,219.7895999
634.717,181.8135031
635.046,213.7108848
635.375,101.4727271
635.704,-95.41134548
636.033,-68.80421837
636.361,82.16286047
636.690,210.6881213
637.019,114.4966303
637.348,62.99886064
637.676,242.923297
638.005,241.0509576
638.334,375.8107878
638.663,249.6019636
638.991,385.4977697
639.320,187.2244122
639.649,171.8331151
639.977,93.85658169
640.306,208.0734856
640.635,128.7428205
640.963,131.4121555
641.292,122.0814905
641.620,235.7508254
641.949,120.7534938
642.278,53.75616197
642.606,4.425497015
642.935,264.4281654
643.263,266.7641669
643.592,101.7668353
643.920,5.436170181
644.249,46.10550523
644.577,135.4415067
644.906,41.44417508
645.234,-27.88648987
645.562,101.4495117
645.891,108.45218
646.219,157.121515
646.548,123.4575166
646.876,195.460185
647.204,160.1295198
647.533,126.1321882
