Save Time: 2025-02-27 15:31:14
Units:(mV)
,CH1,CH2
Status:,Stop,Stop
Frequency:,91.216 kHz,26.923 kHz
Period:,10.963 uS,37.143 uS
PK-PK:,72.000 V ?,1.660 V


713,8000.00,100.00
714,-7200.00,-20.00
715,13600.00,0.00
716,-10800.00,-120.00
717,20000.00,-100.00
718,-19200.00,-220.00
719,13200.00,-120.00
720,-10400.00,-300.00
721,7600.00,-280.00
722,-5600.00,-380.00
723,22000.00,-380.00
724,-19200.00,-460.00
725,16400.00,-440.00
726,-16400.00,-580.00
727,7600.00,-400.00
728,-6000.00,-620.00
729,2800.00,-560.00
730,-2400.00,-620.00
731,1600.00,-460.00
732,-800.00,-700.00
733,800.00,-620.00
734,0.00,-680.00
735,800.00,-660.00
736,0.00,-680.00
737,800.00,-680.00
738,0.00,-680.00
739,400.00,-660.00
740,0.00,-680.00
741,800.00,-640.00
742,0.00,-680.00
743,800.00,-600.00
744,0.00,-660.00
745,800.00,-560.00
746,0.00,-620.00
747,800.00,-500.00
748,400.00,-560.00
749,800.00,-420.00
750,400.00,-500.00
751,800.00,-340.00
752,400.00,-420.00
753,800.00,-240.00
754,400.00,-340.00
755,6400.00,-140.00
756,-5600.00,-240.00
757,14400.00,-40.00
758,-14000.00,-160.00
759,12400.00,60.00
760,-16400.00,-60.00
